tool	seq_type	value	ecdf
DRAM-V	Mixed metagenomes	213	0.13898492
DRAM-V	Mixed metagenomes	213	0.13948487
DRAM-V	Mixed metagenomes	214	0.13998482
DRAM-V	Mixed metagenomes	214	0.14048477
DRAM-V	Mixed metagenomes	214	0.1409847
DRAM-V	Mixed metagenomes	215	0.14148465
DRAM-V	Mixed metagenomes	215	0.1419846
DRAM-V	Mixed metagenomes	215	0.14248453
DRAM-V	Mixed metagenomes	216	0.14298448
DRAM-V	Mixed metagenomes	216	0.14348443
DRAM-V	Mixed metagenomes	217	0.14398436
DRAM-V	Mixed metagenomes	217	0.14448431
DRAM-V	Mixed metagenomes	218	0.14498426
DRAM-V	Mixed metagenomes	218	0.1454842
DRAM-V	Mixed metagenomes	218	0.14598414
DRAM-V	Mixed metagenomes	219	0.14648409
DRAM-V	Mixed metagenomes	219	0.14698403
DRAM-V	Mixed metagenomes	220	0.14748397
DRAM-V	Mixed metagenomes	220	0.14798392
DRAM-V	Mixed metagenomes	220	0.14848386
DRAM-V	Mixed metagenomes	221	0.1489838
DRAM-V	Mixed metagenomes	221	0.14948376
DRAM-V	Mixed metagenomes	222	0.14998369
DRAM-V	Mixed metagenomes	222	0.15048364
DRAM-V	Mixed metagenomes	222	0.15098359
DRAM-V	Mixed metagenomes	223	0.15148352
DRAM-V	Mixed metagenomes	223	0.15198347
DRAM-V	Mixed metagenomes	224	0.15248342
DRAM-V	Mixed metagenomes	224	0.15298335
DRAM-V	Mixed metagenomes	224	0.1534833
DRAM-V	Mixed metagenomes	225	0.15398325
DRAM-V	Mixed metagenomes	225	0.1544832
DRAM-V	Mixed metagenomes	226	0.15498313
DRAM-V	Mixed metagenomes	226	0.15548308
DRAM-V	Mixed metagenomes	226	0.15598303
DRAM-V	Mixed metagenomes	227	0.15648296
DRAM-V	Mixed metagenomes	227	0.15698291
DRAM-V	Mixed metagenomes	228	0.15748286
DRAM-V	Mixed metagenomes	228	0.1579828
DRAM-V	Mixed metagenomes	228	0.15848275
DRAM-V	Mixed metagenomes	229	0.1589827
DRAM-V	Mixed metagenomes	229	0.15948263
DRAM-V	Mixed metagenomes	230	0.15998258
DRAM-V	Mixed metagenomes	230	0.16048253
DRAM-V	Mixed metagenomes	230	0.16098246
DRAM-V	Mixed metagenomes	231	0.16148241
DRAM-V	Mixed metagenomes	231	0.16198236
DRAM-V	Mixed metagenomes	232	0.16248229
DRAM-V	Mixed metagenomes	232	0.16298224
DRAM-V	Mixed metagenomes	232	0.16348219
DRAM-V	Mixed metagenomes	233	0.16398212
DRAM-V	Mixed metagenomes	233	0.16448207
DRAM-V	Mixed metagenomes	233	0.16498202
DRAM-V	Mixed metagenomes	234	0.16548195
DRAM-V	Mixed metagenomes	234	0.1659819
DRAM-V	Mixed metagenomes	235	0.16648185
DRAM-V	Mixed metagenomes	235	0.1669818
DRAM-V	Mixed metagenomes	235	0.16748174
DRAM-V	Mixed metagenomes	236	0.16798168
DRAM-V	Mixed metagenomes	236	0.16848163
DRAM-V	Mixed metagenomes	237	0.16898157
DRAM-V	Mixed metagenomes	237	0.16948152
DRAM-V	Mixed metagenomes	237	0.16998146
DRAM-V	Mixed metagenomes	238	0.1704814
DRAM-V	Mixed metagenomes	238	0.17098135
DRAM-V	Mixed metagenomes	238	0.1714813
DRAM-V	Mixed metagenomes	239	0.17198123
DRAM-V	Mixed metagenomes	239	0.17248118
DRAM-V	Mixed metagenomes	240	0.17298113
DRAM-V	Mixed metagenomes	240	0.17348106
DRAM-V	Mixed metagenomes	240	0.17398101
DRAM-V	Mixed metagenomes	241	0.17448096
DRAM-V	Mixed metagenomes	241	0.1749809
DRAM-V	Mixed metagenomes	242	0.17548084
DRAM-V	Mixed metagenomes	242	0.17598079
DRAM-V	Mixed metagenomes	242	0.17648073
DRAM-V	Mixed metagenomes	243	0.17698067
DRAM-V	Mixed metagenomes	243	0.17748062
DRAM-V	Mixed metagenomes	243	0.17798056
DRAM-V	Mixed metagenomes	244	0.1784805
DRAM-V	Mixed metagenomes	244	0.17898045
DRAM-V	Mixed metagenomes	245	0.1794804
DRAM-V	Mixed metagenomes	245	0.17998034
DRAM-V	Mixed metagenomes	245	0.18048029
DRAM-V	Mixed metagenomes	246	0.18098024
DRAM-V	Mixed metagenomes	246	0.18148017
