function,group,genomes_with_F,group_size,prevalence_per_1000,odds_ratio,p,fdr_q,enriched,biome
Denitrification (NO3 → N2),Bacillota,13,14558,0.9,0.68,0.22801985498864846,0.32436627258948586,FALSE,soil
PAH / polycyclic aromatic degradation,Bacteroidota,7,15021,0.5,0.68,0.41233547096360695,0.5184134759417963,FALSE,soil
Pentose phosphate pathway,Pseudomonadota,181,75389,2.4,0.68,9.371106490354817e-6,4.237978009817179e-5,FALSE,soil
Polyketide / antibiotic biosynthesis,Bacillota,75,14558,5.2,0.68,7.645165168580261e-4,0.002438405311662968,FALSE,soil
Substrate transport (other),Acidobacteriota,33,22995,1.4,0.68,0.030291783121094797,0.06243816520878723,FALSE,soil
Lipoic acid metabolism,Pseudomonadota,4,75389,0.1,0.67,0.5966839029681387,0.6900581015242214,FALSE,soil
Lysine metabolism,Bacteroidota,8,15021,0.5,0.66,0.29226114158281197,0.38670360654843683,FALSE,soil
Pentose phosphate pathway,Gemmatimonadota,3,1450,2.1,0.66,0.6377415863944533,0.7233727906738253,FALSE,soil
Fatty acid biosynthesis,Acidobacteriota,133,22995,5.8,0.65,3.7494280909975964e-7,2.028708413521914e-6,FALSE,soil
Phosphatase / phosphate liberation,Bacillota,13,14558,0.9,0.65,0.1574578115455153,0.24095816615298554,FALSE,soil
Aminotransferase / transamination,Bacillota,57,14558,3.9,0.64,6.38353096834059e-4,0.002068673672093261,FALSE,soil
Aromatic amino acid metabolism (Phe / Tyr / Trp),Pseudomonadota,196,75389,2.6,0.64,4.6285605373077334e-8,2.9839443463920066e-7,FALSE,soil
Cysteine / methionine metabolism,Actinomycetota,57,58870,1,0.64,0.0020058932753941796,0.005816130741095085,FALSE,soil
Fatty acid biosynthesis,Gemmatimonadota,8,1450,5.5,0.64,0.25162818708084056,0.3457747876893183,FALSE,soil
Folate / one-carbon pool metabolism,Myxococcota,4,1466,2.7,0.64,0.5413450327552467,0.6382394744157189,FALSE,soil
Methanotrophy / methane oxidation,Bacillota,10,14558,0.7,0.64,0.18499005265034973,0.27611815740421664,FALSE,soil
Starch,Pseudomonadota,115,75389,1.5,0.64,1.9484631695852418e-5,8.68212265271071e-5,FALSE,soil
Terpenoid / carotenoid metabolism,Actinomycetota,12,58870,0.2,0.64,0.1991022402168692,0.2921451757177306,FALSE,soil
"Other amino-acid-related metabolism (β-Ala, taurine, glutathione, Se)",Planctomycetota,3,3184,0.9,0.63,0.6388798208830554,0.7233727906738253,FALSE,soil
Sugar interconversion,Gemmatimonadota,8,1450,5.5,0.63,0.2547407364243442,0.3471833947224885,FALSE,soil
Denitrification (NO3 → N2),Acidobacteriota,19,22995,0.8,0.62,0.04018914157157604,0.07756248341520726,FALSE,soil
Glyoxylate / dicarboxylate metabolism,Acidobacteriota,6,22995,0.3,0.62,0.3002580994907807,0.3946993672264926,FALSE,soil
Polyketide / antibiotic biosynthesis,Halobacteriota,4,873,4.6,0.62,0.42916296981980595,0.5329359830139394,FALSE,soil
Polysaccharide / complex carbon degradation,Gemmatimonadota,7,1450,4.8,0.62,0.288053624265252,0.3828081059314533,FALSE,soil
ABC-type transport,Acidobacteriota,19,22995,0.8,0.61,0.04070711759767777,0.07831274052124676,FALSE,soil
Alanine / aspartate / glutamate metabolism,Actinomycetota,57,58870,1,0.61,4.0570109064555813e-4,0.0013969026189273195,FALSE,soil
Cysteine / methionine metabolism,Acidobacteriota,20,22995,0.9,0.61,0.03644494776614315,0.07194019005303827,FALSE,soil
Cysteine / methionine metabolism,Verrucomicrobiota,3,3581,0.8,0.61,0.6422463528757846,0.7247696272676452,FALSE,soil
Reactive oxygen species detoxification,Pseudomonadota,24,75389,0.3,0.61,0.03326774807997813,0.06697759247995597,FALSE,soil
Thiol cofactor metabolism,Actinomycetota,3,58870,0.1,0.61,0.5807927790588666,0.6755478389820982,FALSE,soil
Benzoate / aromatic carboxylic acid degradation,Bacillota,8,14558,0.5,0.6,0.19254425594261995,0.28389737007597976,FALSE,soil
Branched-chain amino acid metabolism (Val/Leu/Ile),Bacillota,7,14558,0.5,0.6,0.2179334155685852,0.3129565161956461,FALSE,soil
Pyruvate metabolism,Bacteroidota,12,15021,0.8,0.6,0.0977423392162606,0.16227906182206556,FALSE,soil
Fatty acid degradation (β-oxidation),Acidobacteriota,7,22995,0.3,0.59,0.20828152294474547,0.30341010313585515,FALSE,soil
Sugar interconversion,Pseudomonadota,460,75389,6.1,0.59,1.090521001702121e-23,2.0025931122166222e-22,FALSE,soil
ABC-type transport,Actinomycetota,50,58870,0.8,0.58,3.416085768002183e-4,0.0011897402157524843,FALSE,soil
Formaldehyde oxidation / fixation,Acidobacteriota,3,22995,0.1,0.58,0.477726074398903,0.5755506979835691,FALSE,soil
Oxygenase / monooxygenase / dioxygenase,Pseudomonadota,12,75389,0.2,0.58,0.10517633825773312,0.17226178644374668,FALSE,soil
Glycerolipid / glycerophospholipid metabolism,Bacillota,9,14558,0.6,0.57,0.11016555827489358,0.17831933938049324,FALSE,soil
Methanotrophy / methane oxidation,Chloroflexota,3,4951,0.6,0.57,0.5009673791769752,0.5961202992792028,FALSE,soil
Polysaccharide / complex carbon degradation,Verrucomicrobiota,16,3581,4.5,0.57,0.02067940251524211,0.045642522616973054,FALSE,soil
Cobalamin (B12) metabolism,Actinomycetota,84,58870,1.4,0.56,5.676950044375267e-7,3.0444528556561164e-6,FALSE,soil
Glycerolipid / glycerophospholipid metabolism,Bacteroidota,9,15021,0.6,0.55,0.08774016831262357,0.1472868199375343,FALSE,soil
Glycolysis,Bacteroidota,5,15021,0.3,0.55,0.221465791487668,0.3172772331950989,FALSE,soil
Halogenated aromatic / chlorinated degradation,Bacteroidota,3,15021,0.2,0.55,0.49211715138503537,0.5882110330164328,FALSE,soil
Lipid metabolism (other),Desulfobacterota,3,1513,2,0.55,0.3891387160208148,0.49437748827801625,FALSE,soil
Alanine / aspartate / glutamate metabolism,Pseudomonadota,69,75389,0.9,0.54,2.557395196556062e-6,1.2299853088198202e-5,FALSE,soil
Lipid degradation,Pseudomonadota,9,75389,0.1,0.54,0.10015473365531595,0.16537811606300126,FALSE,soil
"Other amino-acid-related metabolism (β-Ala, taurine, glutathione, Se)",Chloroflexota,4,4951,0.8,0.54,0.2626224376217043,0.35445255500835815,FALSE,soil
CAZy: polysaccharide lyase (PL),Bacillota,9,14558,0.6,0.53,0.055123408869610924,0.09971577843278871,FALSE,soil
Fatty acid biosynthesis,Bacteroidota,71,15021,4.7,0.53,1.1259807063326412e-8,7.934236139971867e-8,FALSE,soil
Heme / porphyrin / chlorophyll metabolism,Pseudomonadota,42,75389,0.6,0.53,1.7047625092288972e-4,6.416683730389514e-4,FALSE,soil
Histidine metabolism,Bacillota,3,14558,0.2,0.53,0.37550234801817967,0.4800726221498246,FALSE,soil
Starch,Acidobacteriota,27,22995,1.2,0.53,7.360802316991018e-4,0.0023601302667177553,FALSE,soil
Iron uptake / siderophore / Fe homeostasis,Pseudomonadota,45,75389,0.6,0.52,6.696894262027831e-5,2.705545281859244e-4,FALSE,soil
Pentose phosphate pathway,Acidobacteriota,39,22995,1.7,0.52,1.4100609185859438e-5,6.329606790096904e-5,FALSE,soil
TCA cycle,Acidobacteriota,5,22995,0.2,0.52,0.2157636353392295,0.3105766342412662,FALSE,soil
Folate / one-carbon pool metabolism,Planctomycetota,7,3184,2.2,0.51,0.07379962010646489,0.12747751670495303,FALSE,soil
PAH / polycyclic aromatic degradation,Pseudomonadota,31,75389,0.4,0.51,4.5454804836400614e-4,0.0015245689043739117,FALSE,soil
Polysaccharide / complex carbon degradation,Desulfobacterota,6,1513,4,0.51,0.1035916476857121,0.17012612058954343,FALSE,soil
Sugar interconversion,Nitrospirota,3,669,4.5,0.51,0.2999344560411286,0.3946993672264926,FALSE,soil
Cobalamin (B12) metabolism,Acidobacteriota,27,22995,1.2,0.5,1.4708883086922168e-4,5.713835352996688e-4,FALSE,soil
Folate / one-carbon pool metabolism,Bacillota,32,14558,2.2,0.5,2.8611928866780653e-5,1.2297041768275942e-4,FALSE,soil
Calvin-Benson-Bassham (CBB) cycle,Acidobacteriota,5,22995,0.2,0.49,0.12578333518616727,0.20112058343751282,FALSE,soil
Folate / one-carbon pool metabolism,Acidobacteriota,51,22995,2.2,0.49,8.927168517550535e-8,5.252295263723907e-7,FALSE,soil
Iron-sulfur cluster assembly,Pseudomonadota,4,75389,0.1,0.49,0.23684827686966742,0.33224549949772786,FALSE,soil
Cobalamin (B12) metabolism,Bacillota,16,14558,1.1,0.48,0.0018209209593879575,0.005356689812568457,FALSE,soil
Aminotransferase / transamination,Planctomycetota,9,3184,2.8,0.47,0.01925365417259705,0.04289600892865372,FALSE,soil
Denitrification (NO3 → N2),Pseudomonadota,56,75389,0.7,0.47,1.2089523081238023e-7,6.977381892600231e-7,FALSE,soil
Ubiquinone / quinone biosynthesis,Actinomycetota,3,58870,0.1,0.47,0.31562631019246795,0.4140033419407697,FALSE,soil
Aminotransferase / transamination,Gemmatimonadota,4,1450,2.8,0.46,0.12313968430571391,0.1979380601837205,FALSE,soil
Pyruvate metabolism,Actinomycetota,41,58870,0.7,0.46,7.305997969648425e-7,3.816754111730125e-6,FALSE,soil
CAZy: carbohydrate esterase (CE),Acidobacteriota,7,22995,0.3,0.45,0.036226587250338914,0.07174284926047511,FALSE,soil
Polysaccharide / complex carbon degradation,Pseudomonadota,327,75389,4.3,0.45,4.815320857435174e-43,1.7165202585915975e-41,FALSE,soil
Cysteine / methionine metabolism,Chloroflexota,3,4951,0.6,0.44,0.1721430354914023,0.2601463329371317,FALSE,soil
Fermentation,Acidobacteriota,14,22995,0.6,0.44,9.666840132412763e-4,0.0030510964167927783,FALSE,soil
Fermentation,Actinomycetota,40,58870,0.7,0.44,1.4712819242642942e-7,8.411291000982664e-7,FALSE,soil
Benzoate / aromatic carboxylic acid degradation,Bacteroidota,6,15021,0.4,0.43,0.03263946474347706,0.06593171878182366,FALSE,soil
CAZy: polysaccharide lyase (PL),Acidobacteriota,12,22995,0.5,0.43,0.002408162663624075,0.006916334474673884,FALSE,soil
Lipid metabolism (other),Acidobacteriota,38,22995,1.7,0.43,1.62077048217954e-8,1.1161214911372741e-7,FALSE,soil
Polysaccharide / complex carbon degradation,Acidobacteriota,82,22995,3.6,0.43,6.453444835009857e-17,8.888153568218123e-16,FALSE,soil
Alanine / aspartate / glutamate metabolism,Chloroflexota,3,4951,0.6,0.42,0.17624799532630683,0.2650280028976227,FALSE,soil
Aminotransferase / transamination,Verrucomicrobiota,9,3581,2.5,0.42,0.004133858420299953,0.010797923287507635,FALSE,soil
Glycolysis / EMP,Bacteroidota,12,15021,0.8,0.42,0.0010119928627379535,0.0031611735815422672,FALSE,soil
ABC transporters,Actinomycetota,4,58870,0.1,0.41,0.10117543903303082,0.16660955449461054,FALSE,soil
Sugar interconversion,Verrucomicrobiota,13,3581,3.6,0.41,2.780065018930115e-4,9.910114126303823e-4,FALSE,soil
Aromatic amino acid metabolism (Phe / Tyr / Trp),Bacteroidota,22,15021,1.5,0.4,1.043102788699856e-6,5.3033546725090895e-6,FALSE,soil
CAZy: carbohydrate esterase (CE),Bacteroidota,4,15021,0.3,0.4,0.06371252972123735,0.11295664400031713,FALSE,soil
Gluconeogenesis,Bacillota,8,14558,0.5,0.4,0.006009513309480112,0.01504861597332623,FALSE,soil
Lipid metabolism (other),Actinomycetota,101,58870,1.7,0.4,1.9937062021391705e-21,3.179436732885098e-20,FALSE,soil
Starch,Verrucomicrobiota,3,3581,0.8,0.4,0.134563185540734,0.21125722911317305,FALSE,soil
ABC-type transport,Bacteroidota,8,15021,0.5,0.39,0.004434024886613242,0.011490137503178179,FALSE,soil
Carbohydrate metabolism (other),Acidobacteriota,5,22995,0.2,0.39,0.030892225531323578,0.0628211029261144,FALSE,soil
Fermentation,Bacteroidota,8,15021,0.5,0.39,0.0033364127709385478,0.009107505131480901,FALSE,soil
Glycerolipid / glycerophospholipid metabolism,Acidobacteriota,10,22995,0.4,0.39,0.001122178019496093,0.003451979085353464,FALSE,soil
NAD(P) / nicotinamide metabolism,Chloroflexota,3,4951,0.6,0.39,0.13402266406424745,0.21095515434528303,FALSE,soil
Sugar interconversion,Acidobacteriota,85,22995,3.7,0.39,2.945916612744073e-22,4.82493369546732e-21,FALSE,soil
Carbohydrate metabolism (other),Actinomycetota,14,58870,0.2,0.38,2.563489354105683e-4,9.302242805916429e-4,FALSE,soil
Starch,Chloroflexota,4,4951,0.8,0.38,0.04005941713635372,0.07755912710744522,FALSE,soil
Aminotransferase / transamination,Pseudomonadota,214,75389,2.8,0.37,3.007472291579521e-48,1.518773507247658e-46,FALSE,soil
Sulfur metabolism (other),Pseudomonadota,13,75389,0.2,0.37,4.921218692881155e-4,0.0016386035867505385,FALSE,soil
Bile / wax / mycolic / lipopolysaccharide,Bacteroidota,3,15021,0.2,0.36,0.06639497757079181,0.11662422147217344,FALSE,soil
Cobalamin (B12) metabolism,Chloroflexota,4,4951,0.8,0.36,0.03071669640142199,0.06267447144532567,FALSE,soil
Fatty acid biosynthesis,Planctomycetota,10,3184,3.1,0.36,2.1277979404239877e-4,7.814821526648101e-4,FALSE,soil
Lysine metabolism,Actinomycetota,20,58870,0.3,0.36,1.5162572436234887e-6,7.593817269717637e-6,FALSE,soil
Lipid metabolism (other),Planctomycetota,4,3184,1.3,0.35,0.023388132628096678,0.05030284697572253,FALSE,soil
Gluconeogenesis,Bacteroidota,7,15021,0.5,0.34,0.001446628608386375,0.004339885825159125,FALSE,soil
Lipid metabolism (other),Patescibacteriota,3,2411,1.2,0.34,0.05638892560704497,0.10109967135464276,FALSE,soil
Organosulfur metabolism,Actinomycetota,10,58870,0.2,0.34,3.099426546008576e-4,0.0010920072598146495,FALSE,soil
Aminotransferase / transamination,Desulfobacterota,3,1513,2,0.33,0.04191631404445643,0.08013024072851924,FALSE,soil
NAD(P) / nicotinamide metabolism,Actinomycetota,36,58870,0.6,0.33,6.55850248504653e-13,6.515495911374094e-12,FALSE,soil
Phosphatase / phosphate liberation,Bacteroidota,7,15021,0.5,0.33,0.0010644214865154656,0.0032910174532059804,FALSE,soil
Aminotransferase / transamination,Acidobacteriota,48,22995,2.1,0.32,9.518722789845089e-20,1.3734157168205057e-18,FALSE,soil
Folate / one-carbon pool metabolism,Verrucomicrobiota,5,3581,1.4,0.32,0.004091815311880626,0.010734372636362162,FALSE,soil
Manganese cycling,Acidobacteriota,3,22995,0.1,0.32,0.044741892221626306,0.0844660021380235,FALSE,soil
Glyoxylate / dicarboxylate metabolism,Actinomycetota,9,58870,0.2,0.31,1.5669306452309556e-4,5.972075289370812e-4,FALSE,soil
Sugar interconversion,Desulfobacterota,4,1513,2.6,0.3,0.005306831164450779,0.013399748690238217,FALSE,soil
Glycine / serine / threonine metabolism,Actinomycetota,26,58870,0.4,0.29,1.6160146489335224e-12,1.530163870708929e-11,FALSE,soil
Organosulfur metabolism,Acidobacteriota,3,22995,0.1,0.29,0.023854250540215234,0.05090026699778321,FALSE,soil
CAZy: carbohydrate esterase (CE),Pseudomonadota,18,75389,0.2,0.28,1.2928103082238015e-8,9.00509249176579e-8,FALSE,soil
Glycolysis,Acidobacteriota,4,22995,0.2,0.28,0.0034588931235491308,0.009399503286416023,FALSE,soil
Methanotrophy / methane oxidation,Actinomycetota,21,58870,0.4,0.27,2.2014626659797296e-11,1.8789948951883325e-10,FALSE,soil
"Other amino-acid-related metabolism (β-Ala, taurine, glutathione, Se)",Acidobacteriota,10,22995,0.4,0.27,1.0501692420810078e-6,5.3033546725090895e-6,FALSE,soil
Reactive oxygen species detoxification,Acidobacteriota,3,22995,0.1,0.27,0.012390598559205346,0.028334727271239396,FALSE,soil
Biotin metabolism,Actinomycetota,12,58870,0.2,0.26,2.5201440943994605e-7,1.4140808529685861e-6,FALSE,soil
Fatty acid biosynthesis,Verrucomicrobiota,8,3581,2.2,0.26,2.312425345738591e-6,1.1210638076140689e-5,FALSE,soil
Pyruvate metabolism,Acidobacteriota,8,22995,0.3,0.25,2.1829468983257057e-6,1.0686070676775275e-5,FALSE,soil
Branched-chain amino acid metabolism (Val/Leu/Ile),Actinomycetota,14,58870,0.2,0.24,1.6026698893569144e-9,1.199034509815173e-8,FALSE,soil
Fatty acid biosynthesis,Myxococcota,3,1466,2,0.24,0.0025608801970544728,0.007285884504295824,FALSE,soil
Fatty acid biosynthesis,Patescibacteriota,5,2411,2.1,0.24,8.09274579968732e-5,3.24682973850586e-4,FALSE,soil
PAH / polycyclic aromatic degradation,Acidobacteriota,4,22995,0.2,0.24,6.509615985887144e-4,0.002098312386940218,FALSE,soil
Fatty acid biosynthesis,Actinomycetota,150,58870,2.5,0.23,1.1244502122319948e-96,3.4070841430629445e-94,FALSE,soil
Aromatic amino acid metabolism (Phe / Tyr / Trp),Chloroflexota,4,4951,0.8,0.22,2.2529260056793253e-4,8.224537105070308e-4,FALSE,soil
3HP / 4HB / DC4HB cycle,Actinomycetota,8,58870,0.1,0.21,3.634704271268473e-7,1.9843520616114367e-6,FALSE,soil
Ammonia assimilation (GS-GOGAT),Pseudomonadota,21,75389,0.3,0.21,2.523272242751526e-16,3.3241369111030975e-15,FALSE,soil
Bile / wax / mycolic / lipopolysaccharide,Actinomycetota,8,58870,0.1,0.2,4.731570210211978e-8,2.986803695196311e-7,FALSE,soil
Glycolysis / EMP,Actinomycetota,28,58870,0.5,0.2,4.164438248120415e-24,8.140805091487004e-23,FALSE,soil
Lysine metabolism,Acidobacteriota,4,22995,0.2,0.2,8.512260644788781e-5,3.371522843622223e-4,FALSE,soil
D-amino acid metabolism,Actinomycetota,3,58870,0.1,0.17,2.0799401012916996e-4,7.719988697634964e-4,FALSE,soil
Gluconeogenesis,Actinomycetota,17,58870,0.3,0.17,5.735222301832149e-20,8.476938329049469e-19,FALSE,soil
Iron uptake / siderophore / Fe homeostasis,Acidobacteriota,4,22995,0.2,0.17,3.634007605821434e-6,1.7204754758810853e-5,FALSE,soil
Lipid metabolism (other),Chloroflexota,3,4951,0.6,0.17,3.2838327283142305e-5,1.4014103051819885e-4,FALSE,soil
Riboflavin / FAD metabolism,Acidobacteriota,3,22995,0.1,0.17,6.436017472230715e-5,2.617601737028063e-4,FALSE,soil
Arginine / proline metabolism,Actinomycetota,16,58870,0.3,0.16,1.1369046412183656e-20,1.722410531445824e-19,FALSE,soil
NAD(P) / nicotinamide metabolism,Acidobacteriota,6,22995,0.3,0.16,8.692204055123156e-10,6.667690705575485e-9,FALSE,soil
Iron uptake / siderophore / Fe homeostasis,Actinomycetota,11,58870,0.2,0.15,9.396372700990077e-16,1.162082011591834e-14,FALSE,soil
Substrate transport (other),Actinomycetota,24,58870,0.4,0.15,1.469896444962315e-32,4.453786228235815e-31,FALSE,soil
Riboflavin / FAD metabolism,Pseudomonadota,11,75389,0.1,0.14,5.945961155672858e-16,7.506775959036983e-15,FALSE,soil
Pantothenate / CoA metabolism,Actinomycetota,5,58870,0.1,0.13,3.836866433211798e-9,2.801374769308855e-8,FALSE,soil
Calvin-Benson-Bassham (CBB) cycle,Actinomycetota,4,58870,0.1,0.12,3.5608298251108727e-8,2.3202826602335365e-7,FALSE,soil
Phosphate starvation response,Actinomycetota,12,58870,0.2,0.12,6.190083958321229e-24,1.1722471496070826e-22,FALSE,soil
Phosphonate / phosphite metabolism,Pseudomonadota,14,75389,0.2,0.12,1.856971671764716e-26,3.8804304589290275e-25,FALSE,soil
Oxidative phosphorylation / ETC,Actinomycetota,3,58870,0.1,0.11,3.040547622850451e-7,1.6750653267703393e-6,FALSE,soil
Manganese cycling,Pseudomonadota,4,75389,0.1,0.1,1.909745596187359e-10,1.585350453821287e-9,FALSE,soil
Arginine / proline metabolism,Acidobacteriota,3,22995,0.1,0.09,2.0267642928089215e-10,1.6597556235705493e-9,FALSE,soil
MFS transport,Actinomycetota,3,58870,0.1,0.09,5.857675731625969e-9,4.225894634958735e-8,FALSE,soil
"Other amino-acid-related metabolism (β-Ala, taurine, glutathione, Se)",Actinomycetota,11,58870,0.2,0.09,1.419599847478847e-29,3.5844896148840885e-28,FALSE,soil
Fatty acid biosynthesis,Chloroflexota,3,4951,0.6,0.07,4.626773511450806e-15,5.391970669113824e-14,FALSE,soil
Polysaccharide metabolism,Bacteroidota,48,67194,0.7,Inf,1.2634738487965016e-25,9.872725888270337e-25,TRUE,gut
TonB-dependent / outer membrane transport,Bacteroidota,48,67194,0.7,Inf,1.2634738487965016e-25,9.872725888270337e-25,TRUE,gut
Vitamin / cofactor transport,Pseudomonadota,54,25865,2.1,Inf,3.840309711884069e-51,6.791284543121301e-50,TRUE,gut
PAH / polycyclic aromatic degradation,Bacillota,319,106914,3,28.65,7.802136523181585e-84,3.745025531127161e-82,TRUE,gut
Sterol / isoprenoid metabolism,Pseudomonadota,21,25865,0.8,22.74,1.3008393756227505e-14,6.334522176945568e-14,TRUE,gut
Sulfur amino acid metabolism,Actinomycetota,100,10619,9.4,19.67,1.7449458385903762e-75,6.514464464070738e-74,TRUE,gut
"Other amino-acid-related metabolism (β-Ala, taurine, glutathione, Se)",Bacillota,2079,106914,19.4,19.29,0,0,TRUE,gut
Aromatic / xenobiotic degradation (other),Bacteroidota,80,67194,1.2,16.75,2.989846553605417e-30,3.044207400034606e-29,TRUE,gut
Calvin-Benson-Bassham (CBB) cycle,Campylobacterota,22,1329,16.6,15.38,1.7224063487917627e-18,1.0153132161298812e-17,TRUE,gut
Glycerolipid / glycerophospholipid metabolism,Pseudomonadota,112,25865,4.3,15.21,4.6392249320490807e-63,1.1134139836917794e-61,TRUE,gut
Halogenated aromatic / chlorinated degradation,Bacillota,14,106914,0.1,15.04,3.535275723676589e-4,7.332423723181073e-4,TRUE,gut
Heme / porphyrin / chlorophyll metabolism,Desulfobacterota_I,9,920,9.8,14.73,2.5590780789911957e-8,8.864435407639606e-8,TRUE,gut
Iron reduction,Bacteroidota,20,67194,0.3,11.51,1.1562017201680234e-7,3.84637403937085e-7,TRUE,gut
Pantothenate / CoA metabolism,Campylobacterota,5,1329,3.8,11.1,1.270613301878999e-4,2.8846356042658354e-4,TRUE,gut
CAZy: polysaccharide lyase (PL),Verrucomicrobiota,5,1292,3.9,10.32,1.7479775885288762e-4,3.8895395347397505e-4,TRUE,gut
Sugar transport,Bacillota,43,106914,0.4,9.24,1.9620727037935335e-9,7.325071427495858e-9,TRUE,gut
Arsenic (As) cycling / detoxification,Bacillota,25,106914,0.2,8.96,9.598799009303448e-6,2.580157173700767e-5,TRUE,gut
Thiamine metabolism,Bacillota,551,106914,5.2,8.88,8.012496690338757e-104,6.730497219884556e-102,TRUE,gut
Polyketide / antibiotic biosynthesis,Campylobacterota,23,1329,17.3,8.33,7.127412415786017e-14,3.3261257940334746e-13,TRUE,gut
Organosulfur metabolism,Bacillota,152,106914,1.4,8.18,1.3160065919170587e-28,1.2282728191225882e-27,TRUE,gut
CAZy: polysaccharide lyase (PL),Actinomycetota,25,10619,2.4,7.91,3.0807727534892616e-13,1.3801861935631893e-12,TRUE,gut
ABC transporters,Bacillota,104,106914,1,7.46,3.1902900659081326e-19,1.9141740395448797e-18,TRUE,gut
Phosphate starvation response,Campylobacterota,13,1329,9.8,7.45,5.945050107210927e-8,1.9975368360228714e-7,TRUE,gut
Wood-Ljungdahl pathway / homoacetogenesis,Bacteroidota,19,67194,0.3,7.29,3.253677311710046e-6,9.186853586004837e-6,TRUE,gut
Iron-sulfur cluster assembly,Bacillota,19,106914,0.2,6.81,3.493984184287593e-4,7.291793080252368e-4,TRUE,gut
Lipid metabolism (other),Verrucomicrobiota,3,1292,2.3,6.49,0.012417957136338207,0.021243515539007017,TRUE,gut
BTEX / monoaromatic hydrocarbon degradation,Bacillota,12,106914,0.1,6.45,0.005832046196862358,0.010368082127755302,TRUE,gut
Cobalamin (B12) metabolism,Patescibacteriota,25,1630,15.3,6.37,1.855000101808649e-12,7.990769669329564e-12,TRUE,gut
Methanotrophy / methane oxidation,Bacillota,260,106914,2.4,6.36,4.0380817525778284e-42,5.65331445360896e-41,TRUE,gut
Thiol cofactor metabolism,Bacillota,23,106914,0.2,6.18,1.2802311855517997e-4,2.886964284197347e-4,TRUE,gut
Methanogenesis,Bacillota,17,106914,0.2,6.09,0.0011152687899693438,0.002191405341694149,TRUE,gut
CAZy: polysaccharide lyase (PL),Pseudomonadota,39,25865,1.5,6.04,1.614960773795165e-14,7.751811714216792e-14,TRUE,gut
Bile / wax / mycolic / lipopolysaccharide,Actinomycetota,9,10619,0.8,5.12,2.0283884929025504e-4,4.3688367539439547e-4,TRUE,gut
MFS transport,Pseudomonadota,92,25865,3.6,4.92,2.4197489206358723e-27,2.032589093334133e-26,TRUE,gut
ABC-type transport,Bacillota,721,106914,6.7,4.87,3.1274371505029675e-95,2.1016377651379944e-93,TRUE,gut
Pentose phosphate pathway,Campylobacterota,23,1329,17.3,4.71,3.560474316182269e-9,1.286364914233594e-8,TRUE,gut
Glyoxylate / dicarboxylate metabolism,Bacillota,184,106914,1.7,4.6,2.642962183267149e-24,1.973411763506138e-23,TRUE,gut
Arginine / proline metabolism,Pseudomonadota,102,25865,3.9,4.48,1.0244055343654196e-27,9.302709717480567e-27,TRUE,gut
Photosynthesis,Actinomycetota,6,10619,0.6,4.42,0.004362282632060485,0.007880252496625393,TRUE,gut
Phosphate starvation response,Bacillota,245,106914,2.3,4.4,7.06222359257224e-31,7.415334772200853e-30,TRUE,gut
Reactive oxygen species detoxification,Verrucomicrobiota,7,1292,5.4,4.39,0.0014104099457808283,0.002723550240128496,TRUE,gut
Phosphatase / phosphate liberation,Actinomycetota,22,10619,2.1,4.25,1.2601946272577274e-7,4.151229360378396e-7,TRUE,gut
Ammonia assimilation (GS-GOGAT),Bacteroidota,135,67194,2,4.2,3.021218528601423e-24,2.2068030991523435e-23,TRUE,gut
Amino-acid / peptide transport,Bacillota,39,106914,0.4,4.19,9.583981482155797e-6,2.580157173700767e-5,TRUE,gut
Reactive oxygen species detoxification,Bacteroidota,176,67194,2.6,3.9,2.8966008830011546e-29,2.7807368476811084e-28,TRUE,gut
Riboflavin / FAD metabolism,Pseudomonadota,54,25865,2.1,3.9,1.3684180429408318e-13,6.298472088056432e-13,TRUE,gut
Iron uptake / siderophore / Fe homeostasis,Bacteroidota,231,67194,3.4,3.89,9.81950926016232e-38,1.2219833745979775e-36,TRUE,gut
Lipid degradation,Fusobacteriota,5,4713,1.1,3.84,0.012455275479715424,0.021243515539007017,TRUE,gut
Arginine / proline metabolism,Verrucomicrobiota,6,1292,4.6,3.82,0.005864005782163776,0.01037003127793173,TRUE,gut
Aromatic amino acid metabolism (Phe / Tyr / Trp),Bacillota,509,106914,4.8,3.79,1.8690370400427748e-54,3.48886914141318e-53,TRUE,gut
Nitroaromatic / nitrotoluene degradation,Bacillota,21,106914,0.2,3.76,0.003054815408441805,0.005639659215584871,TRUE,gut
Sulfur metabolism (other),Bacteroidota,39,67194,0.6,3.74,2.683227449626014e-7,8.425835729666735e-7,TRUE,gut
Denitrification (NO3 → N2),Bacteroidota,108,67194,1.6,3.66,2.4140577360590033e-17,1.3518723321930417e-16,TRUE,gut
Glycan / glycoside metabolism,Bacillota,17,106914,0.2,3.65,0.008895101250001135,0.015485772124354308,TRUE,gut
Polyketide / antibiotic biosynthesis,Pseudomonadota,158,25865,6.1,3.64,7.2080316716852325e-34,7.812576263503993e-33,TRUE,gut
Formaldehyde oxidation / fixation,Bacillota,266,106914,2.5,3.58,1.5850629340321036e-27,1.401529331144176e-26,TRUE,gut
Cobalamin (B12) metabolism,Desulfobacterota_I,8,920,8.7,3.49,0.0026959625129189613,0.005032463357448728,TRUE,gut
Fatty acid biosynthesis,Pseudomonadota,239,25865,9.2,3.49,8.810188319050796e-48,1.4801116376005338e-46,TRUE,gut
