function,group,genomes_with_F,group_size,prevalence_per_1000,odds_ratio,p,fdr_q,enriched,biome
Riboflavin / FAD metabolism,Bacteroidota,20,67194,0.3,0.33,2.3211841171437056e-7,7.499210224618126e-7,FALSE,gut
Inorganic ion transport,Pseudomonadota,4,25865,0.2,0.32,0.017276522203837984,0.02831664127068079,FALSE,gut
ABC-type transport,Fusobacteriota,6,4713,1.3,0.31,0.0013724241837265922,0.002665517489781127,FALSE,gut
Glyoxylate / dicarboxylate metabolism,Bacteroidota,26,67194,0.4,0.3,2.2358700047961548e-11,9.390654020143851e-11,FALSE,gut
Heme / porphyrin / chlorophyll metabolism,Pseudomonadota,6,25865,0.2,0.3,0.0010483437826423858,0.0020842811299872283,FALSE,gut
Glycolysis,Pseudomonadota,7,25865,0.3,0.29,1.6080476632312045e-4,3.6020267656378986e-4,FALSE,gut
Aromatic amino acid metabolism (Phe / Tyr / Trp),Fusobacteriota,4,4713,0.8,0.28,0.003862312140369429,0.00701479394142772,FALSE,gut
CAZy: polysaccharide lyase (PL),Bacteroidota,9,67194,0.1,0.26,1.2044161732017656e-5,3.089189574013689e-5,FALSE,gut
Fatty acid degradation (β-oxidation),Pseudomonadota,7,25865,0.3,0.26,3.296356602358549e-5,8.143939841121121e-5,FALSE,gut
Folate / one-carbon pool metabolism,Actinomycetota,15,10619,1.4,0.26,4.641601729771451e-11,1.901924611223424e-10,FALSE,gut
Glycine / serine / threonine metabolism,Actinomycetota,5,10619,0.5,0.26,3.1325901252554584e-4,6.578439263036463e-4,FALSE,gut
Phosphate starvation response,Pseudomonadota,10,25865,0.4,0.26,2.429132855194837e-7,7.699892824013824e-7,FALSE,gut
Glycine / serine / threonine metabolism,Pseudomonadota,12,25865,0.5,0.24,1.1855882737550445e-9,4.475928763839269e-9,FALSE,gut
Organosulfur metabolism,Bacteroidota,16,67194,0.2,0.24,5.890985794627385e-11,2.356394317850954e-10,FALSE,gut
Substrate transport (other),Verrucomicrobiota,3,1292,2.3,0.24,0.0036781317356765993,0.006716588386887703,FALSE,gut
Sugar interconversion,Fusobacteriota,6,4713,1.3,0.24,9.881544020339793e-6,2.614329756562339e-5,FALSE,gut
Formaldehyde oxidation / fixation,Actinomycetota,4,10619,0.4,0.23,3.590501577392057e-4,7.401279325176264e-4,FALSE,gut
