id	db	name	filter_essential	filter_glucan	filter_lipid	filter_methyl	filter_nucleotide
K04232	KEGG	GALR3; galanin receptor 3	True	False	False	False	False
K04233	KEGG	ASTA-R; allatostatin A receptor	True	False	False	False	False
K04234	KEGG	F2RL1, PAR2; coagulation factor II (thrombin) receptor-like 1	True	False	False	False	False
K04235	KEGG	F2RL2, PAR3; coagulation factor II (thrombin) receptor-like 2	True	False	False	False	False
K04236	KEGG	F2RL3, PAR4; coagulation factor II (thrombin) receptor-like 3	True	False	False	False	False
K04238	KEGG	HCRTR1; hypocretin (orexin) receptor 1	True	False	False	False	False
K04239	KEGG	HCRTR2; hypocretin (orexin) receptor 2	True	False	False	False	False
K04240	KEGG	NPFFR1; neuropeptide FF receptor 1	True	False	False	False	False
K04241	KEGG	UTS2R; urotensin 2 receptor	True	False	False	False	False
K04242	KEGG	ADMR; adrenomedullin receptor	True	False	False	False	False
K04243	KEGG	GPR37; prosaposin receptor	True	False	False	False	False
K04244	KEGG	GPR37L1, ETBRLP2; prosaposin receptor	True	False	False	False	False
K04245	KEGG	CMKLR1; chemokine-like receptor 1	True	False	False	False	False
K04246	KEGG	GPER1, GPR30; G-protein coupled estrogen receptor 1	True	False	False	False	False
K04247	KEGG	FSHR; follicle stimulating hormone receptor	True	False	False	False	False
K04248	KEGG	LHCGR; lutropin-choriogonadotropic hormone receptor	True	False	False	False	False
K04249	KEGG	TSHR; thyrotropin receptor	True	False	False	False	False
K04253	KEGG	RRH; visual pigment-like receptor peropsin	True	False	False	False	False
K04254	KEGG	RGR; retinal G protein coupled receptor	True	False	False	False	False
K04257	KEGG	OLFR; olfactory receptor	True	False	False	False	False
K04258	KEGG	PTGER1; prostaglandin E receptor 1	True	False	False	False	False
