id	db	name	filter_essential	filter_glucan	filter_lipid	filter_methyl	filter_nucleotide
HMMsoil101131	FOAM	DPYS, dht, hydA; dihydropyrimidinase [EC:3.5.2.2]	False	False	False	False	True
HMMsoil10116	FOAM	Antibiotic ABC transporter [mD:m00248]	True	False	False	False	False
HMMsoil10117	FOAM	ACAA2; acetyl-CoA acyltransferase 2 [EC:2.3.1.16]	False	False	True	False	False
HMMsoil101171	FOAM	RPC19, POLR1D; DNA-directed RNA polymerases I and III subunit RPAC2	True	False	False	False	True
HMMsoil101172	FOAM	E4.6.1.1; adenylate cyclase [EC:4.6.1.1]	False	False	False	False	True
HMMsoil101173	FOAM	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8] [EC:1.8.4.10]	False	False	False	False	True
HMMsoil101183	FOAM	IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]	False	False	False	False	True
HMMsoil101184	FOAM	pyrF; orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]	False	False	False	False	True
HMMsoil101186	FOAM	pdp; pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]	True	False	False	False	True
HMMsoil101187	FOAM	PDE9; high affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9 [EC:3.1.4.35]	False	False	False	False	True
HMMsoil101203	FOAM	ebgA; evolved beta-galactosidase subunit alpha [EC:3.2.1.23]; lacZ; beta-galactosidase [EC:3.2.1.23]	True	True	False	False	False
HMMsoil101224	FOAM	ABC-2.LPSE.A; lipopolysaccharide transport system ATP-binding protein	False	False	True	False	False
HMMsoil101233	FOAM	Antibiotic ABC transporter [mD:m00248]	True	False	False	False	False
HMMsoil101238	FOAM	Antibiotic ABC transporter [mD:m00248]	True	False	False	False	False
HMMsoil10124	FOAM	manB; phosphomannomutase [EC:5.4.2.8]	False	True	False	False	True
HMMsoil10124	FOAM	manB; phosphomannomutase [EC:5.4.2.8]	False	True	False	False	True
HMMsoil101247	FOAM	Antibiotic ABC transporter [mD:m00248]	True	False	False	False	False
HMMsoil101288	FOAM	emrB; MFS transporter, DHA2 family, multidrug resistance protein	True	False	False	False	False
HMMsoil101289	FOAM	Antibiotic ABC transporter [mD:m00248]	True	False	False	False	False
