id,db,name
K26860,KEGG,Autographiviridae DNA primase/helicase
K07496,KEGG,putative transposase
K11936,KEGG,"poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]"
K01493,KEGG,dCMP deaminase [EC:3.5.4.12]
K14438,KEGG,chromodomain-helicase-DNA-binding protein 9 [EC:5.6.2.-]
K21526,KEGG,Autographiviridae exonuclease [EC:3.1.11.3]
K02338,KEGG,DNA polymerase III subunit beta [EC:2.7.7.7]
K03091,KEGG,RNA polymerase sigma-E/F/G factor
K19448,KEGG,Simplexvirus ribonucleoside-diphosphate reductase large subunit [EC:1.17.4.1]
K13695,KEGG,probable lipoprotein NlpC
K19170,KEGG,DNA sulfur modification protein DndC
K18947,KEGG,Straboviridae DNA replication helicase [EC:5.6.2.3]
K07317,KEGG,adenine-specific DNA-methyltransferase [EC:2.1.1.72]
K21511,KEGG,Enterobacteria phage capsid assembly protease [EC:3.4.21.-]
K19470,KEGG,complement C1q tumor necrosis factor-related protein 1/6/8
K19220,KEGG,peptidoglycan DL-endopeptidase CwlS [EC:3.4.-.-]
K07478,KEGG,putative ATPase
K05592,KEGG,ATP-dependent RNA helicase DeaD [EC:3.6.4.13]
K14162,KEGG,error-prone DNA polymerase [EC:2.7.7.7]
K06338,KEGG,spore coat protein SA
K25281,KEGG,Enterovirus genome polyprotein
K26865,KEGG,Ruegeria phage DNA helicase
K26727,KEGG,Zierdtviridae DNA polymerase
K04748,KEGG,nitric oxide reductase NorQ protein
K19243,KEGG,NAD+ dependent glucose-6-phosphate dehydrogenase [EC:1.1.1.388]
K16703,KEGG,colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK [EC:2.4.-.-]
K26441,KEGG,DNA ligase [EC:6.5.1.1]
K26829,KEGG,Bacillus phage metallo-endopeptidase
K03087,KEGG,RNA polymerase nonessential primary-like sigma factor
K02336,KEGG,DNA polymerase II [EC:2.7.7.7]
K20269,KEGG,rhizosphere induced protein
K26698,KEGG,Sopolycivirus RNA-directed RNA polymerase
K14575,KEGG,AAA family ATPase
K21919,KEGG,BTB/POZ domain-containing protein KCTD9
K08256,KEGG,phosphatidyl-myo-inositol alpha-mannosyltransferase [EC:2.4.1.345]
K19068,KEGG,"UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase [EC:1.1.1.367]"
K10857,KEGG,exodeoxyribonuclease X [EC:3.1.11.-]
