level,ranking,coverage,precision
specific,d1_only,0.07934313702123602,0.5941724241513968
specific,d1_only,0.08182186524298687,0.5884066414214972
specific,d1_only,0.08430059346473771,0.58269720101781175
specific,d1_only,0.08677932168648855,0.5773139247459489
specific,d1_only,0.08925804990823939,0.5722296395193591
specific,d1_only,0.09173677812999023,0.5705378020265004
specific,d1_only,0.09421550635174107,0.5664052618264609
specific,d1_only,0.09669423457349191,0.5612521567660833
specific,d1_only,0.09917296279524275,0.5594808940158615
specific,d1_only,0.10165169101699359,0.5570926143024619
specific,d1_only,0.10413041923874443,0.5529869535362784
specific,d1_only,0.10660914746049527,0.5508607198748043
specific,d1_only,0.10908787568224611,0.5479571771902993
specific,d1_only,0.11156660390399695,0.5458235419782098
specific,d1_only,0.11404533212574779,0.542528735632184
specific,d1_only,0.11652406034749863,0.5406013499693189
specific,d1_only,0.11900278856924947,0.5391548167434408
specific,d1_only,0.1214815167910003,0.5365901510692564
specific,d1_only,0.12396024501275114,0.5331666987117862
specific,d1_only,0.12643897323450198,0.5298774740810556
specific,d1_only,0.12891770145625284,0.5274542429284526
specific,d1_only,0.13139642967800366,0.5234899328859061
specific,d1_only,0.13387515789975452,0.5228769805946235
specific,d1_only,0.13635388612150534,0.5194895997203286
specific,d1_only,0.1388326143432562,0.5163948497854077
specific,d1_only,0.14131134256500702,0.5162759318603475
specific,d1_only,0.14379007078675787,0.5140062986905354
specific,d1_only,0.1462687990085087,0.5118135897018087
specific,d1_only,0.14874752723025955,0.5100144207659029
specific,d1_only,0.1512262554520104,0.5085894405043341
specific,d1_only,0.15370498367376123,0.5069002946193208
specific,d1_only,0.15618371189551208,0.5052647642301236
specific,d1_only,0.1586624401172629,0.5044314255670722
specific,d1_only,0.16114116833901376,0.5031800029581422
specific,d1_only,0.1636198965607646,0.5015294974508376
specific,d1_only,0.16609862478251544,0.5016501650165016
specific,d1_only,0.16857735300426627,0.5006362222536406
specific,d1_only,0.17105608122601712,0.49965166504110353
specific,d1_only,0.17353480944776795,0.49979398434281
specific,d1_only,0.1760135376695188,0.4987136086662153
specific,d1_only,0.17849226589126962,0.4977967685939378
specific,d1_only,0.18097099411302048,0.4963782431186619
specific,d1_only,0.1834497223347713,0.4964271794205535
specific,d1_only,0.18592845055652216,0.4950647352903474
specific,d1_only,0.18840717877827298,0.4939911448450348
specific,d1_only,0.19088590700002384,0.4928205768510426
specific,d1_only,0.19336463522177466,0.49131024282016517
specific,d1_only,0.19584336344352551,0.4895947426067908
specific,d1_only,0.19832209166527637,0.4886431919240476
specific,d1_only,0.2008008198870272,0.4885459940652819
specific,d1_only,0.20327954810877805,0.4878649314104819
specific,d1_only,0.20575827633052887,0.4875477817676358
specific,d1_only,0.20823700455227973,0.4863225363397047
specific,d1_only,0.21071573277403055,0.4855785544621649
specific,d1_only,0.2131944609957814,0.48474007825600895
