identity_stratum,level,min_seq_id,n_report,n_matched_coverage,coverage,cluster_micro,cluster_micro_lo,cluster_micro_hi,cluster_macro,cluster_n_labels,embedding_micro,embedding_micro_lo,embedding_micro_hi,embedding_macro,embedding_n_labels,embedding_p_at_cut,macro_delta_cluster_minus_embedding,micro_delta_cluster_minus_embedding
>=90%,category,0.7,4644,3843,0.8275193798449613,0.9992193598750976,0.9977071594781768,0.9997344819972611,0.99860529986053,3,0.9331251626333593,0.9247866392737298,0.9405986159964637,0.9290373937396312,3,0.8274483677548301,0.0695679061208988,0.06609419724173826
>=90%,category,0.9,4644,3466,0.7463393626184324,0.9997114829774957,0.9983673957805523,0.9999490691554838,0.9994926433282597,3,0.9477784189267167,0.9398635623897921,0.95470176877691,0.9436873024779268,3,0.8518265619665415,0.05580534085033295,0.05193306405077902
all,specific,0.3,41957,37045,0.8829277593726911,0.8619246861924686,0.8583740929291443,0.8654002234046758,0.8517177082032362,3559,0.4200836820083682,0.41506599827134766,0.42511793881563525,0.27214365632687565,4197,0.045454545454545456,0.5795740518763606,0.44184100418410044
all,specific,0.5,41957,24320,0.5796410610863503,0.9501644736842105,0.9473577575945057,0.9528289958005666,0.9275556585242642,3182,0.5899671052631579,0.5837718159814576,0.5961339765311857,0.40937484491687937,3189,0.16756176154672395,0.5181808136073849,0.36019736842105265
all,specific,0.7,41957,9598,0.22875801415735159,0.9799958324650969,0.976996613925227,0.9826109680203033,0.9685660035860618,2060,0.9055011460720983,0.8994855730914212,0.9111922452137672,0.8054985595057285,1392,0.6894736842105263,0.16306744408033336,0.07449468639299861
all,specific,0.9,41957,3978,0.09481135448196963,0.9909502262443439,0.9874972425199809,0.9934558923309887,0.9849047895524442,1181,0.987430869783811,0.9834684479089281,0.9904527648284146,0.9700913251019465,515,0.958005249343832,0.014813464450497693,0.0035193564605329186
all,L1,0.3,41957,37354,0.8902924422623162,0.9455747711088505,0.9432280428703332,0.9478298602179438,0.9450754608781884,28,0.6195855865503025,0.614650109739799,0.6244964687927251,0.5887746277156151,28,0.270392749244713,0.3563008331625733,0.325989184558548
all,L1,0.5,41957,24481,0.5834783230450223,0.9818634859687104,0.9801146606148652,0.9834611053806968,0.9792905581851742,28,0.7584249009435889,0.7530226584794969,0.7637460511861601,0.7321810367784195,28,0.4345006485084306,0.24710952140675468,0.22343858502512148
all,L1,0.7,41957,9628,0.22947303191362586,0.9925218113834648,0.990593635240681,0.9940571090157444,0.9893691355182144,28,0.9560656418778563,0.9517866497203729,0.9599808361568867,0.9289975499370956,28,0.8170454545454545,0.06037158558111877,0.03645616950560859
all,L1,0.9,41957,3985,0.09497819195843363,0.9964868255959849,0.9941112355894921,0.9979060959585941,0.9961450850623977,28,0.9957340025094102,0.9931783612468159,0.9973347741958147,0.9862846754547684,28,0.981294964028777,0.00986040960762935,0.0007528230865746499
all,category,0.3,41957,37463,0.8928903401101127,0.9942343111870379,0.9934153032559646,0.9949519681395512,0.9901727265390825,3,0.902730694285028,0.8996885760034905,0.9056902259289361,0.8593241352767861,3,0.7980997624703088,0.13084859126229642,0.09150361690200992
all,category,0.5,41957,24563,0.585432704912172,0.9973130317957905,0.9965832768256526,0.9978872537288328,0.9951866473307588,3,0.9397874852420307,0.9367432436785715,0.9426941846964297,0.9183116910095332,3,0.864406779661017,0.07687495632122554,0.05752554655375974
all,category,0.7,41957,9657,0.23016421574469098,0.9983431707569639,0.9973101351186001,0.9989798775444788,0.9970253078824776,3,0.9851920886403644,0.9825828870289309,0.9874154203649094,0.9815591823642019,3,0.9619318181818182,0.015466125518275642,0.013151082116599433
all,category,0.9,41957,3986,0.09500202588364277,0.9994982438534872,0.9981722162307273,0.9998623924615074,0.9993338335265899,3,0.9989964877069744,0.9974223696825955,0.99960969294365,0.9986533319145648,3,0.9940564635958395,0.0006805016120250418,0.0005017561465128217
